,分頁,項目,Code,繁中文案,簡中文案,英文文案,韓文文案,zh-TW.json,en-US.json,zh-CN.json,ko-KR.json
,,,g_signin_metamask,請先登入MetaMask,请先登入MetaMask,Please sign in to Metamask before continuing.,먼저 MetaMask에 로그인해 주십시오.,"g_signin_metamask: ""請先登入MetaMask"",","g_signin_metamask: ""Please sign in to Metamask before continuing."",","g_signin_metamask: ""请先登入MetaMask"",","g_signin_metamask: ""먼저 MetaMask에 로그인해 주십시오."","
,,,g_day_character,天,天,D,,"g_day_character: ""天"",","g_day_character: ""D"",","g_day_character: ""天"",","g_day_character: """","
,,,g_hour_character,時,时,H,,"g_hour_character: ""時"",","g_hour_character: ""H"",","g_hour_character: ""时"",","g_hour_character: """","
,,,g_min_character,分,分,M,,"g_min_character: ""分"",","g_min_character: ""M"",","g_min_character: ""分"",","g_min_character: """","
,,,g_sec_character,秒,秒,S,,"g_sec_character: ""秒"",","g_sec_character: ""S"",","g_sec_character: ""秒"",","g_sec_character: """","
,,,g_sec,秒,秒,sec,초,"g_sec: ""秒"",","g_sec: ""sec"",","g_sec: ""秒"",","g_sec: ""초"","
,,,g_confirm,確認,确认,Confirm,확인,"g_confirm: ""確認"",","g_confirm: ""Confirm"",","g_confirm: ""确认"",","g_confirm: ""확인"","
,,,g_tutorial,教學,教学,Tutorial,사용 지침서,"g_tutorial: ""教學"",","g_tutorial: ""Tutorial"",","g_tutorial: ""教学"",","g_tutorial: ""사용 지침서"","
,,,g_login_again,請重新登入,请重新登录,Please login again.,다시 로그인해 주십시오.,"g_login_again: ""請重新登入"",","g_login_again: ""Please login again."",","g_login_again: ""请重新登录"",","g_login_again: ""다시 로그인해 주십시오."","
,,,g_strategy_name,策略名稱,策略名称,Strategy Name,전략명,"g_strategy_name: ""策略名稱"",","g_strategy_name: ""Strategy Name"",","g_strategy_name: ""策略名称"",","g_strategy_name: ""전략명"","
,,,g_no_history,沒有歷史紀錄,没有历史纪录,No History,거래 이력이 없습니다.,"g_no_history: ""沒有歷史紀錄"",","g_no_history: ""No History"",","g_no_history: ""没有历史纪录"",","g_no_history: ""거래 이력이 없습니다."","
,,,g_save,儲存,储存,Save,저장,"g_save: ""儲存"",","g_save: ""Save"",","g_save: ""储存"",","g_save: ""저장"","
,,,g_yes,是,是,Yes,네,"g_yes: ""是"",","g_yes: ""Yes"",","g_yes: ""是"",","g_yes: ""네"","
,,,g_no,不是,不是,No,아니요,"g_no: ""不是"",","g_no: ""No"",","g_no: ""不是"",","g_no: ""아니요"","
,,,g_just_copied,複製成功,複製成功,You just copied,복제 성공,"g_just_copied: ""複製成功"",","g_just_copied: ""You just copied"",","g_just_copied: ""複製成功"",","g_just_copied: ""복제 성공"","
,,,g_server_error,伺服器目前忙碌中。請稍後再試。,伺服器目前忙碌中。请稍后再试。,"The server is currently busy, please try again later.",현재 서버 사용자가 많습니다,"g_server_error: ""伺服器目前忙碌中。請稍後再試。"",","g_server_error: ""The server is currently busy, please try again later."",","g_server_error: ""伺服器目前忙碌中。请稍后再试。"",","g_server_error: ""현재 서버 사용자가 많습니다"","
,,,g_back,返回,返回,Cancel,취소,"g_back: ""返回"",","g_back: ""Cancel"",","g_back: ""返回"",","g_back: ""취소"","
,,,g_api_key_name,API 金鑰名稱,API 金钥名称,API Key Name,API 키 이름,"g_api_key_name: ""API 金鑰名稱"",","g_api_key_name: ""API Key Name"",","g_api_key_name: ""API 金钥名称"",","g_api_key_name: ""API 키 이름"","
,,,g_login_box_t_title,登入,登录,Log In,#N/A,"g_login_box_t_title: ""登入"",","g_login_box_t_title: ""Log In"",","g_login_box_t_title: ""登录"",",#N/A
,,,g_login_box_t_desc,感謝您使用我們的服務，請註冊或登入後取得更多資訊。,感谢您使用我们的服务，请注册或登入后取得更多资讯。,Thanks for checking out our services. Please register or login for more details.,#N/A,"g_login_box_t_desc: ""感謝您使用我們的服務，請註冊或登入後取得更多資訊。"",","g_login_box_t_desc: ""Thanks for checking out our services. Please register or login for more details."",","g_login_box_t_desc: ""感谢您使用我们的服务，请注册或登入后取得更多资讯。"",",#N/A
,,,g_maintenance_t_desc_desktop,%s 將進行系統升級維護，系統將暫停服務，造成不便，敬請見諒。,%s 将进行系统升级维护，系统将暂停服务，造成不便，敬请见谅。,"To provide even better service, our system is undergoing maintenance on %s. Some performance fees of strategies will be adjusted at the same time. Sorry for the inconvenience.",#N/A,"g_maintenance_t_desc_desktop: ""%s 將進行系統升級維護，系統將暫停服務，造成不便，敬請見諒。"",","g_maintenance_t_desc_desktop: ""To provide even better service, our system is undergoing maintenance on %s. Some performance fees of strategies will be adjusted at the same time. Sorry for the inconvenience."",","g_maintenance_t_desc_desktop: ""%s 将进行系统升级维护，系统将暂停服务，造成不便，敬请见谅。"",",#N/A
,,,g_maintenance_t_desc_mobile,系統維護升級<br/>%s,系统维护升级<br/>%s,System Maintenance<br/>%s,#N/A,"g_maintenance_t_desc_mobile: ""系統維護升級<br/>%s"",","g_maintenance_t_desc_mobile: ""System Maintenance<br/>%s"",","g_maintenance_t_desc_mobile: ""系统维护升级<br/>%s"",",#N/A
,,,g_delay_withdrawal_t_desc_desktop,Bincentive 春節國定假日 %s - 錢包出金時間延後通知。造成不便，敬請見諒。,Bincentive 春节国定假日 %s - 钱包出金时间延后通知。造成不便，敬请见谅。,Chinese new year national holiday %s - delay in withdrawal. Sorry for the inconvenience.,,"g_delay_withdrawal_t_desc_desktop: ""Bincentive 春節國定假日 %s - 錢包出金時間延後通知。造成不便，敬請見諒。"",","g_delay_withdrawal_t_desc_desktop: ""Chinese new year national holiday %s - delay in withdrawal. Sorry for the inconvenience."",","g_delay_withdrawal_t_desc_desktop: ""Bincentive 春节国定假日 %s - 钱包出金时间延后通知。造成不便，敬请见谅。"",","g_delay_withdrawal_t_desc_desktop: """","
,,,g_delay_withdrawal_t_desc_mobile,春節出金時間延後通知<br/>%s,春節出金時間延後通知<br/>%s,delay in withdrawal<br/>%s,,"g_delay_withdrawal_t_desc_mobile: ""春節出金時間延後通知<br/>%s"",","g_delay_withdrawal_t_desc_mobile: ""delay in withdrawal<br/>%s"",","g_delay_withdrawal_t_desc_mobile: ""春節出金時間延後通知<br/>%s"",","g_delay_withdrawal_t_desc_mobile: """","
,,,g_currency,貨幣,货币,Currency,#N/A,"g_currency: ""貨幣"",","g_currency: ""Currency"",","g_currency: ""货币"",",#N/A
,,,g_currencies,貨幣,货币,Currencies,,"g_currencies: ""貨幣"",","g_currencies: ""Currencies"",","g_currencies: ""货币"",","g_currencies: """","
,,,g_add,增加,增加,Add,#N/A,"g_add: ""增加"",","g_add: ""Add"",","g_add: ""增加"",",#N/A
,,,g_minus,減少,减少,Minus,#N/A,"g_minus: ""減少"",","g_minus: ""Minus"",","g_minus: ""减少"",",#N/A
,,,g_ok,確定,确定,OK,,"g_ok: ""確定"",","g_ok: ""OK"",","g_ok: ""确定"",","g_ok: """","
,,,g_clear,清除,清除,Clear,,"g_clear: ""清除"",","g_clear: ""Clear"",","g_clear: ""清除"",","g_clear: """","
,,,g_get_bincentive_app,取得 %s Bincentive App,取得 %s Bincentive App,Get Bincentive App for %s,,"g_get_bincentive_app: ""取得 %s Bincentive App"",","g_get_bincentive_app: ""Get Bincentive App for %s"",","g_get_bincentive_app: ""取得 %s Bincentive App"",","g_get_bincentive_app: """","
,,,g_previous,上一步,上一步,Previous,,"g_previous: ""上一步"",","g_previous: ""Previous"",","g_previous: ""上一步"",","g_previous: """","
,,,g_next,下一步,下一步,Next,,"g_next: ""下一步"",","g_next: ""Next"",","g_next: ""下一步"",","g_next: """","
,,,g_done,完成,完成,Done,,"g_done: ""完成"",","g_done: ""Done"",","g_done: ""完成"",","g_done: """","
,,,g_drag_or_click_to_upload,拖曳檔案至此或點擊上傳,拖曳档案至此或点击上传,Drag file here or click to upload,,"g_drag_or_click_to_upload: ""拖曳檔案至此或點擊上傳"",","g_drag_or_click_to_upload: ""Drag file here or click to upload"",","g_drag_or_click_to_upload: ""拖曳档案至此或点击上传"",","g_drag_or_click_to_upload: """","
,,,g_file_exceed_mb,檔案大小超過 %sMB,档案大小超过 %sMB,File size exceeds %sMB,,"g_file_exceed_mb: ""檔案大小超過 %sMB"",","g_file_exceed_mb: ""File size exceeds %sMB"",","g_file_exceed_mb: ""档案大小超过 %sMB"",","g_file_exceed_mb: """","
,,,g_file_must_be,檔案格式必須為 %s,档案格式必须为 %s,File must be %s,,"g_file_must_be: ""檔案格式必須為 %s"",","g_file_must_be: ""File must be %s"",","g_file_must_be: ""档案格式必须为 %s"",","g_file_must_be: """","
,,,g_uploading,上傳中...,上传中...,Uploading...,,"g_uploading: ""上傳中..."",","g_uploading: ""Uploading..."",","g_uploading: ""上传中..."",","g_uploading: """","
,,,g_h_file_upload,"僅限上傳大小為 %sMB 以下的 jpg, jpeg 或 png 圖檔。","仅限上传大小为 %sMB 以下的 jpg, jpeg 或 png 图档。",Only jpg/jpeg/png files are allowed. The maximize file size is %sMB.,,"g_h_file_upload: ""僅限上傳大小為 %sMB 以下的 jpg, jpeg 或 png 圖檔。"",","g_h_file_upload: ""Only jpg/jpeg/png files are allowed. The maximize file size is %sMB."",","g_h_file_upload: ""仅限上传大小为 %sMB 以下的 jpg, jpeg 或 png 图档。"",","g_h_file_upload: """","
,,,g_e_access_denied_from_this_ip,拒絕存取目前的 IP 位址。,拒绝存取目前的 IP 位址。,Access denied from this IP address.,,"g_e_access_denied_from_this_ip: ""拒絕存取目前的 IP 位址。"",","g_e_access_denied_from_this_ip: ""Access denied from this IP address."",","g_e_access_denied_from_this_ip: ""拒绝存取目前的 IP 位址。"",","g_e_access_denied_from_this_ip: """","
,,,g_e_learn_more,了解更多,了解更多,Learn more.,,"g_e_learn_more: ""了解更多"",","g_e_learn_more: ""Learn more."",","g_e_learn_more: ""了解更多"",","g_e_learn_more: """","
,,,g_learn_more,了解更多,了解更多,Learn more,,"g_learn_more: ""了解更多"",","g_learn_more: ""Learn more"",","g_learn_more: ""了解更多"",","g_learn_more: """","
,,,,,,,,,,,
,,,menu_t_beta,Beta,Beta,Beta,Beta,"menu_t_beta: ""Beta"",","menu_t_beta: ""Beta"",","menu_t_beta: ""Beta"",","menu_t_beta: ""Beta"","
,,,menu_b_bonus_program,獎勵活動,奖励活动,Bonus Program,보너스 프로그램,"menu_b_bonus_program: ""獎勵活動"",","menu_b_bonus_program: ""Bonus Program"",","menu_b_bonus_program: ""奖励活动"",","menu_b_bonus_program: ""보너스 프로그램"","
,,,menu_b_how_to_start,如何開始,如何开始,How To Start,시작하는 방법,"menu_b_how_to_start: ""如何開始"",","menu_b_how_to_start: ""How To Start"",","menu_b_how_to_start: ""如何开始"",","menu_b_how_to_start: ""시작하는 방법"","
,,,menu_b_help,支援中心,支援中心,Help Center,지원 센터,"menu_b_help: ""支援中心"",","menu_b_help: ""Help Center"",","menu_b_help: ""支援中心"",","menu_b_help: ""지원 센터"","
,,,menu_b_dashboard,儀表板,仪表板,Dashboard,대시보드,"menu_b_dashboard: ""儀表板"",","menu_b_dashboard: ""Dashboard"",","menu_b_dashboard: ""仪表板"",","menu_b_dashboard: ""대시보드"","
,,,menu_b_login,登入,登入,LOGIN,로그인,"menu_b_login: ""登入"",","menu_b_login: ""LOGIN"",","menu_b_login: ""登入"",","menu_b_login: ""로그인"","
,,,menu_b_sign_up,註冊,注册,SIGN UP,회원가입,"menu_b_sign_up: ""註冊"",","menu_b_sign_up: ""SIGN UP"",","menu_b_sign_up: ""注册"",","menu_b_sign_up: ""회원가입"","
,,,menu_trader_t_whats_new,公司消息,公司消息,What's new,새로운 소식,"menu_trader_t_whats_new: ""公司消息"",","menu_trader_t_whats_new: ""What\'s new"",","menu_trader_t_whats_new: ""公司消息"",","menu_trader_t_whats_new: ""새로운 소식"","
,,,menu_trader_b_press,媒體報導,媒体报导,PRESS,매체 보도,"menu_trader_b_press: ""媒體報導"",","menu_trader_b_press: ""PRESS"",","menu_trader_b_press: ""媒体报导"",","menu_trader_b_press: ""매체 보도"","
,,,menu_trader_b_events,近期活動,近期活动,EVENTS,"이벤트""","menu_trader_b_events: ""近期活動"",","menu_trader_b_events: ""EVENTS"",","menu_trader_b_events: ""近期活动"",","menu_trader_b_events: ""이벤트\"""","
,,,menu_trader_b_blog,部落格,部落格,BLOG,블로그,"menu_trader_b_blog: ""部落格"",","menu_trader_b_blog: ""BLOG"",","menu_trader_b_blog: ""部落格"",","menu_trader_b_blog: ""블로그"","
,,,menu_user_t_welcome,歡迎,欢迎,Welcome,환영합니다.,"menu_user_t_welcome: ""歡迎"",","menu_user_t_welcome: ""Welcome"",","menu_user_t_welcome: ""欢迎"",","menu_user_t_welcome: ""환영합니다."","
,,,menu_user_t_basic_info,帳號,帐号,Account,계정,"menu_user_t_basic_info: ""帳號"",","menu_user_t_basic_info: ""Account"",","menu_user_t_basic_info: ""帐号"",","menu_user_t_basic_info: ""계정"","
,,,menu_user_t_contract_info,聯絡資料,联络资料,Contact Info,연락처,"menu_user_t_contract_info: ""聯絡資料"",","menu_user_t_contract_info: ""Contact Info"",","menu_user_t_contract_info: ""联络资料"",","menu_user_t_contract_info: ""연락처"","
,,,menu_user_t_my_wallet,錢包,钱包,Wallet,내 지갑,"menu_user_t_my_wallet: ""錢包"",","menu_user_t_my_wallet: ""Wallet"",","menu_user_t_my_wallet: ""钱包"",","menu_user_t_my_wallet: ""내 지갑"","
,,,menu_user_t_api_key,API 金鑰,API 金钥,API Keys,API 키,"menu_user_t_api_key: ""API 金鑰"",","menu_user_t_api_key: ""API Keys"",","menu_user_t_api_key: ""API 金钥"",","menu_user_t_api_key: ""API 키"","
,,,menu_user_t_security,安全性,安全性,Security,,"menu_user_t_security: ""安全性"",","menu_user_t_security: ""Security"",","menu_user_t_security: ""安全性"",","menu_user_t_security: """","
,,,menu_user_t_referrals,邀請返利,邀请返利,Referrals,,"menu_user_t_referrals: ""邀請返利"",","menu_user_t_referrals: ""Referrals"",","menu_user_t_referrals: ""邀请返利"",","menu_user_t_referrals: """","
,,,menu_b_logout,登出,登出,Logout,로그아웃,"menu_b_logout: ""登出"",","menu_b_logout: ""Logout"",","menu_b_logout: ""登出"",","menu_b_logout: ""로그아웃"","
,,,menu_t_about,關於我們,关于我们,About,회사 소개,"menu_t_about: ""關於我們"",","menu_t_about: ""About"",","menu_t_about: ""关于我们"",","menu_t_about: ""회사 소개"","
,,,menu_b_company,公司消息,公司消息,Company,회사 소식,"menu_b_company: ""公司消息"",","menu_b_company: ""Company"",","menu_b_company: ""公司消息"",","menu_b_company: ""회사 소식"","
,,,menu_b_join_us,加入我們,加入我们,Join Us,Join us(제휴,"menu_b_join_us: ""加入我們"",","menu_b_join_us: ""Join Us"",","menu_b_join_us: ""加入我们"",","menu_b_join_us: ""Join us(제휴"","
,,,menu_b_trading_partner,交易專家,交易专家,Trading Partners,거래 파트너,"menu_b_trading_partner: ""交易專家"",","menu_b_trading_partner: ""Trading Partners"",","menu_b_trading_partner: ""交易专家"",","menu_b_trading_partner: ""거래 파트너"","
,,,menu_b_hatchq,HatchQ,HatchQ,HatchQ Program,HatchQ,"menu_b_hatchq: ""HatchQ"",","menu_b_hatchq: ""HatchQ Program"",","menu_b_hatchq: ""HatchQ"",","menu_b_hatchq: ""HatchQ"","
,,,menu_t_support,協助,协助,Support,협조,"menu_t_support: ""協助"",","menu_t_support: ""Support"",","menu_t_support: ""协助"",","menu_t_support: ""협조"","
,,,menu_t_whats_new,最新,最新,What's New,최신 소식,"menu_t_whats_new: ""最新"",","menu_t_whats_new: ""What\'s New"",","menu_t_whats_new: ""最新"",","menu_t_whats_new: ""최신 소식"","
,,,menu_b_bcnt_store,購買 BCNT,购买 BCNT,BCNT Store,BCNT스토어,"menu_b_bcnt_store: ""購買 BCNT"",","menu_b_bcnt_store: ""BCNT Store"",","menu_b_bcnt_store: ""购买 BCNT"",","menu_b_bcnt_store: ""BCNT스토어"","
,,,menu_b_premium,尊榮專案,尊荣专案,Premium,프리미엄,"menu_b_premium: ""尊榮專案"",","menu_b_premium: ""Premium"",","menu_b_premium: ""尊荣专案"",","menu_b_premium: ""프리미엄"","
,,,menu_b_term_service,使用者條款,使用者条款,Terms of Service,서비스 이용약관,"menu_b_term_service: ""使用者條款"",","menu_b_term_service: ""Terms of Service"",","menu_b_term_service: ""使用者条款"",","menu_b_term_service: ""서비스 이용약관"","
,,,menu_b_term_premium_service,尊榮專案策略使用條款協議,尊荣专案策略使用条款协议,Premium Strategy Services Agreement,,"menu_b_term_premium_service: ""尊榮專案策略使用條款協議"",","menu_b_term_premium_service: ""Premium Strategy Services Agreement"",","menu_b_term_premium_service: ""尊荣专案策略使用条款协议"",","menu_b_term_premium_service: """","
,,,menu_b_term_binfi_service,固定收益-磐石產品 使用條款協議,固定收益-磐石产品 使用条款协议,Stable Income - Rock Services Agreement,,"menu_b_term_binfi_service: ""固定收益-磐石產品 使用條款協議"",","menu_b_term_binfi_service: ""Stable Income - Rock Services Agreement"",","menu_b_term_binfi_service: ""固定收益-磐石产品 使用条款协议"",","menu_b_term_binfi_service: """","
,,,menu_b_term_lending_service,智能放貸產品使用條款協議,智能放贷使用条款协议,Agreement as to Terms of Use,,"menu_b_term_lending_service: ""智能放貸產品使用條款協議"",","menu_b_term_lending_service: ""Agreement as to Terms of Use"",","menu_b_term_lending_service: ""智能放贷使用条款协议"",","menu_b_term_lending_service: """","
,,,menu_b_news,最新消息,最新消息,NEWS,최신 소식,"menu_b_news: ""最新消息"",","menu_b_news: ""NEWS"",","menu_b_news: ""最新消息"",","menu_b_news: ""최신 소식"","
,,,menu_b_about_us,關於我們,关于我们,ABOUT US,회사 소개,"menu_b_about_us: ""關於我們"",","menu_b_about_us: ""ABOUT US"",","menu_b_about_us: ""关于我们"",","menu_b_about_us: ""회사 소개"","
,,,menu_b_help_center,支援中心,支援中心,HELP CENTER,고객 센터,"menu_b_help_center: ""支援中心"",","menu_b_help_center: ""HELP CENTER"",","menu_b_help_center: ""支援中心"",","menu_b_help_center: ""고객 센터"","
,,,menu_b_mirror_trade,智能跟投,智能跟投,Mirror Trade,,"menu_b_mirror_trade: ""智能跟投"",","menu_b_mirror_trade: ""Mirror Trade"",","menu_b_mirror_trade: ""智能跟投"",","menu_b_mirror_trade: """","
,,,menu_b_binfi,BinFi 幣盛選,BinFi 币盛选,BinFi,,"menu_b_binfi: ""BinFi 幣盛選"",","menu_b_binfi: ""BinFi"",","menu_b_binfi: ""BinFi 币盛选"",","menu_b_binfi: """","
,,,menu_b_portfolio,我的投資組合,我的投资组合,My Portfolio,,"menu_b_portfolio: ""我的投資組合"",","menu_b_portfolio: ""My Portfolio"",","menu_b_portfolio: ""我的投资组合"",","menu_b_portfolio: """","
,,,menu_about_b_bincentive,服務,服务,SERVICES,서비스,"menu_about_b_bincentive: ""服務"",","menu_about_b_bincentive: ""SERVICES"",","menu_about_b_bincentive: ""服务"",","menu_about_b_bincentive: ""서비스"","
,,,menu_about_b_join_us,加入我們,加入我们,JOIN US,회원 가입,"menu_about_b_join_us: ""加入我們"",","menu_about_b_join_us: ""JOIN US"",","menu_about_b_join_us: ""加入我们"",","menu_about_b_join_us: ""회원 가입"","
,,,menu_about_b_partner,成為交易夥伴,成为交易伙伴,BECOME A TRADER,트레이더가 되었습니다.,"menu_about_b_partner: ""成為交易夥伴"",","menu_about_b_partner: ""BECOME A TRADER"",","menu_about_b_partner: ""成为交易伙伴"",","menu_about_b_partner: ""트레이더가 되었습니다."","
,,,menu_binfi_b_usdt,BinFi USDT,BinFi USDT,BinFi USDT,,"menu_binfi_b_usdt: ""BinFi USDT"",","menu_binfi_b_usdt: ""BinFi USDT"",","menu_binfi_b_usdt: ""BinFi USDT"",","menu_binfi_b_usdt: """","
,,,menu_binfi_b_btc,BinFi BTC,BinFi BTC,BinFi BTC,,"menu_binfi_b_btc: ""BinFi BTC"",","menu_binfi_b_btc: ""BinFi BTC"",","menu_binfi_b_btc: ""BinFi BTC"",","menu_binfi_b_btc: """","
,,,menu_binfi_galaxy_b_galaxy,BinFi Galaxy,BinFi Galaxy,BinFi Galaxy,,"menu_binfi_galaxy_b_galaxy: ""BinFi Galaxy"",","menu_binfi_galaxy_b_galaxy: ""BinFi Galaxy"",","menu_binfi_galaxy_b_galaxy: ""BinFi Galaxy"",","menu_binfi_galaxy_b_galaxy: """","
,,,menu_binfi_galaxy_b_history,BinFi 歷史紀錄,BinFi 历史纪录,BinFi History,,"menu_binfi_galaxy_b_history: ""BinFi 歷史紀錄"",","menu_binfi_galaxy_b_history: ""BinFi History"",","menu_binfi_galaxy_b_history: ""BinFi 历史纪录"",","menu_binfi_galaxy_b_history: """","
,,,menu_mirror_b_trading_bot,智能跟單,智能跟单,Trading Bot,,"menu_mirror_b_trading_bot: ""智能跟單"",","menu_mirror_b_trading_bot: ""Trading Bot"",","menu_mirror_b_trading_bot: ""智能跟单"",","menu_mirror_b_trading_bot: """","
,,,menu_mirror_b_lending_bot,智能放貸,智能放贷,Lending Bot,,"menu_mirror_b_lending_bot: ""智能放貸"",","menu_mirror_b_lending_bot: ""Lending Bot"",","menu_mirror_b_lending_bot: ""智能放贷"",","menu_mirror_b_lending_bot: """","
,,,menu_download_t_download_title,掃描下載,扫描下载,scan to download,,"menu_download_t_download_title: ""掃描下載"",","menu_download_t_download_title: ""scan to download"",","menu_download_t_download_title: ""扫描下载"",","menu_download_t_download_title: """","
,,,,,,,,,,,
,,,landing_banner_t_title,體驗便利、安全、公平的服務,体验便利、安全、公平的服务,"Convenient, Secure, and Equitable",편리하고 안전하고 공정한 서비스,"landing_banner_t_title: ""體驗便利、安全、公平的服務"",","landing_banner_t_title: ""Convenient, Secure, and Equitable"",","landing_banner_t_title: ""体验便利、安全、公平的服务"",","landing_banner_t_title: ""편리하고 안전하고 공정한 서비스"","
,,,landing_banner_t_desc,智能跟投服務,智能跟投服务,Smart Mirror Trading Service,스마트 미러 트레이딩 서비스,"landing_banner_t_desc: ""智能跟投服務"",","landing_banner_t_desc: ""Smart Mirror Trading Service"",","landing_banner_t_desc: ""智能跟投服务"",","landing_banner_t_desc: ""스마트 미러 트레이딩 서비스"","
,,,landing_banner_b_sign_up,註冊,注册,Sign Up,회원 가입,"landing_banner_b_sign_up: ""註冊"",","landing_banner_b_sign_up: ""Sign Up"",","landing_banner_b_sign_up: ""注册"",","landing_banner_b_sign_up: ""회원 가입"","
,,,landing_bonus_t_title_bonus,獎勵活動,奖励活动,BONUS PROGRAM,보너스 이벤트,"landing_bonus_t_title_bonus: ""獎勵活動"",","landing_bonus_t_title_bonus: ""BONUS PROGRAM"",","landing_bonus_t_title_bonus: ""奖励活动"",","landing_bonus_t_title_bonus: ""보너스 이벤트"","
,,,landing_bonus_t_subtitle_bonus,新用戶註冊獎勵,新用户注册奖励,NEW USER SIGN UP BONUS,신규 가입자 보너스,"landing_bonus_t_subtitle_bonus: ""新用戶註冊獎勵"",","landing_bonus_t_subtitle_bonus: ""NEW USER SIGN UP BONUS"",","landing_bonus_t_subtitle_bonus: ""新用户注册奖励"",","landing_bonus_t_subtitle_bonus: ""신규 가입자 보너스"","
,,,landing_bonus_t_desc_bonus,立即完成第一筆跟投，最高可獲得 3000 BCNT 獎勵！,立即完成第一笔跟投，最高可获得 3000 BCNT 奖励！,Get rewarded for making your first investment up to 3000 BCNT today!,첫번째 투자 완료 즉시 최고 3000 BCNT의 보상을 받으실 수 있습니다！,"landing_bonus_t_desc_bonus: ""立即完成第一筆跟投，最高可獲得 3000 BCNT 獎勵！"",","landing_bonus_t_desc_bonus: ""Get rewarded for making your first investment up to 3000 BCNT today!"",","landing_bonus_t_desc_bonus: ""立即完成第一笔跟投，最高可获得 3000 BCNT 奖励！"",","landing_bonus_t_desc_bonus: ""첫번째 투자 완료 즉시 최고 3000 BCNT의 보상을 받으실 수 있습니다！"","
,,,landing_bonus_t_title_referral,好友推薦獎勵,好友推荐奖励,REFERRAL BONUS,친구 추천 보너스,"landing_bonus_t_title_referral: ""好友推薦獎勵"",","landing_bonus_t_title_referral: ""REFERRAL BONUS"",","landing_bonus_t_title_referral: ""好友推荐奖励"",","landing_bonus_t_title_referral: ""친구 추천 보너스"","
,,,landing_bonus_t_desc_referral,推薦好友使用Bincentive平台，以獲得200 BCNP!,推荐好友使用Bincentive平台，以获得200 BCNP!,Earn 200 BCNT for every friend you refer to Bincentive!,친구에게 Bincentive를 추천하고 200 BCNP를 받으십시오!,"landing_bonus_t_desc_referral: ""推薦好友使用Bincentive平台，以獲得200 BCNP!"",","landing_bonus_t_desc_referral: ""Earn 200 BCNT for every friend you refer to Bincentive!"",","landing_bonus_t_desc_referral: ""推荐好友使用Bincentive平台，以获得200 BCNP!"",","landing_bonus_t_desc_referral: ""친구에게 Bincentive를 추천하고 200 BCNP를 받으십시오!"","
